CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12395.0,92,1,346.1,1,At Risk
12427.0,93,1,303.5,1,At Risk
12431.0,152,1,358.25,1,At Risk
12433.0,151,1,1919.14,1,At Risk
12472.0,31,1,1631.3,0,Loyal High Spender
12557.0,93,1,620.0,1,At Risk
12567.0,32,1,1526.92,0,Loyal High Spender
12583.0,152,1,855.86,1,At Risk
12600.0,92,1,76.5,1,At Risk
12647.0,31,2,372.0,0,Loyal High Spender
12662.0,151,1,261.48,1,At Risk
12682.0,92,1,336.24,1,At Risk
12686.0,93,1,89.14,1,At Risk
12708.0,1,1,196.44,0,Loyal High Spender
12712.0,92,1,175.53,1,At Risk
12720.0,31,1,473.39,0,Loyal High Spender
12725.0,92,1,427.8,1,At Risk
12738.0,120,1,155.35,1,At Risk
12747.0,31,1,358.55999999999995,0,Loyal High Spender
12748.0,1,9,1108.67,0,Loyal High Spender
12763.0,31,1,320.08,0,Loyal High Spender
12779.0,92,1,248.16,1,At Risk
12791.0,152,1,192.6,1,At Risk
12793.0,92,1,131.8,1,At Risk
12808.0,1,1,129.4,0,Loyal High Spender
12838.0,152,1,390.79,1,At Risk
12841.0,32,2,505.99,0,Loyal High Spender
12855.0,121,1,38.1,1,At Risk
12868.0,151,1,203.3,1,At Risk
12915.0,121,1,199.65,1,At Risk
12921.0,151,1,322.40000000000003,1,At Risk
12947.0,151,1,304.04,1,At Risk
12967.0,93,1,1368.4,1,At Risk
12971.0,120,1,45.12,1,At Risk
13011.0,120,1,50.55,1,At Risk
13013.0,93,2,1528.34,1,At Risk
13034.0,31,1,165.86,0,Loyal High Spender
13047.0,152,3,366.63,1,At Risk
13065.0,151,1,205.86,1,At Risk
13069.0,32,2,332.5,0,Loyal High Spender
13081.0,92,2,2366.78,1,At Risk
13089.0,32,1,734.3999999999999,0,Loyal High Spender
13090.0,121,1,160.6,1,At Risk
13093.0,151,1,799.4,1,At Risk
13094.0,1,1,223.68,0,Loyal High Spender
13108.0,121,1,350.06,1,At Risk
13117.0,120,1,202.12,1,At Risk
13138.0,120,1,193.23,1,At Risk
13145.0,120,1,295.0,1,At Risk
13174.0,31,1,1415.97,0,Loyal High Spender
13255.0,152,1,225.7,1,At Risk
13269.0,32,1,351.43,0,Loyal High Spender
13305.0,121,1,136.2,1,At Risk
13370.0,93,1,754.87,1,At Risk
13402.0,120,1,308.28000000000003,1,At Risk
13408.0,93,2,1558.68,1,At Risk
13418.0,121,2,623.24,1,At Risk
13448.0,152,2,443.96,1,At Risk
13468.0,151,2,360.05,1,At Risk
13491.0,120,1,98.9,1,At Risk
13497.0,1,1,153.5,0,Loyal High Spender
13506.0,32,1,301.12,0,Loyal High Spender
13520.0,93,1,303.4,1,At Risk
13576.0,151,1,349.15,1,At Risk
13579.0,31,1,164.70000000000002,0,Loyal High Spender
13652.0,1,1,308.8,0,Loyal High Spender
13694.0,152,1,842.12,1,At Risk
13705.0,152,1,318.14,1,At Risk
13715.0,121,1,272.65000000000003,1,At Risk
13747.0,152,1,79.6,1,At Risk
13748.0,152,1,204.0,1,At Risk
13758.0,152,1,362.45,1,At Risk
13767.0,31,3,1636.96,0,Loyal High Spender
13777.0,151,7,6585.16,2,Low Value
13798.0,120,1,408.0,1,At Risk
13831.0,32,1,408.0,0,Loyal High Spender
13838.0,32,1,238.11,0,Loyal High Spender
13941.0,121,1,1095.12,1,At Risk
14001.0,151,1,301.24,1,At Risk
14031.0,120,1,1714.25,1,At Risk
14045.0,152,1,326.4,1,At Risk
14047.0,121,1,286.92,1,At Risk
14060.0,121,1,339.84,1,At Risk
14078.0,151,1,136.24,1,At Risk
